,Date,Rating,Review,Temp,Sentiment
0,2018-11-25,4.0,"Great service, food was good but not as amazing as I had expected considering the reviews?I ordered the lamb as my entree and it was extremely fatty. The portion is quite big but a lot of it I was picking off the fatty parts. There are veggies that come with this plate, but there isn't much.The ravioli is good, we had that as an app. It's a little confusing because the pastas are right next to the app portion of the menu, so I'm assuming those are app portions? The ravioli comes in 6 pieces. Bread is slightly stale, don't really recommend eating it to fill you up before your meal.We also tried the steak frites that came with this au poivre sauce I believe? The sauce was too floral in terms of taste. The fries were slightly soggy, I would've preferred for it to be more crispy. For dessert, we had the crepes. These crepes are doused in this sweet cream sauce. It was good, not amazing. Beautiful restaurant, with indoor and outdoor seating. Res was quite easy to make on a weekend night. It does get busy in there. There is bar seating as well. Huge space. The burger looks good. They have a green hour (their version of HH) where they have a burger for $12. Would come back to try that. Maybe the lamb I got that day was just bad. I'd be willing to give this place another shot.",18.40666666666667,0.16838860544217685
1,2018-11-18,1.0,"The deliciousness of the food is overshadowed by the rudeness and incompetence of the staff. The curt interactions, however, lend themselves to a very authentic Parisian feel. Great atmosphere if you're looking for abuse.",18.40666666666667,0.7250000000000001
2,2018-11-18,5.0,Beautiful setting. Beautiful view. Food is delicious.  The price is a bit high compare to other places. But it is worth it if you are looking for a beautiful place to enjoy brunch with friends.,18.40666666666667,0.535625
3,2018-11-17,5.0,"I was invited to come back to give Boucherie another chance and I'm glad I decided to accept the offer. It felt like a completely different dining experience and I'm excited to have a French restaurant that serves delicious food close to where we live.We were greeted promptly by our delightful server who was attentive without being overbearing. The other people in the service staff were also wonderful, our water glasses were never empty and when we were finished eating the various courses our dirty dishes were promptly cleared.Our server recommended a few glasses of wine that were full bodied and complemented our dishes perfectly.For food, we decided to be adventurous and ordered the frog legs per the suggestion of our server, and wow they were delicious. The plate comes out sizzling hot and the frog legs themselves are perfectly seasoned and I tasted a touch of lemon that made me think of a calamari dish.I also had enjoyed the foie gras the first time I came so we decided to re order that, and it was just as good as I remembered - perfectly smooth with a delicious onion compote to complement the flavors.  Unfortunately they did not have gluten free bread for my fiancé but the brioche bread that comes with the foie gras that I was able to enjoy is great.For the main, our server suggested we share the porterhouse for 2.  The steak was prepared to a perfect medium rare throughout - only the very tips/ends were a little more medium.  There was a nice amount of flavoring without being overwhelming and barely any fat on either side.  I personally am more of a filet person so enjoyed that more than the strip, though both were delicious. The bearnaise sauce that comes on the side offers a nice extra flavor profile to complement the steak. We also ordered the potato gratin and cream spinach. The potatoes had a nice crispy outer layer  with a softer interior and the spinach was awesome, the seasoning and flavors were amazing and even though it probably was, it didn't feel unhealthy like most cream spinaches do.For dessert, the gluten free options were creme brûlée and chocolate mousse. We opted for the mousse and it was light but offered just the right amount of sweetness to finish off a great meal.Overall, boucherie exceeded my expectations the second time around and I will definitely be coming back!",18.40666666666667,0.3450841543513957
4,2018-11-16,5.0,"Mama MiA this burger is really good. They have a regular burger in the menu but this is a Especial one for a few. The meet it's very tasty, melted gruyere cheese and a delicious truffle mayo with crispy fries. 100% recommended. It's price is 42$.---------------------------------@elmanudominguez (Instagram)",18.40666666666667,0.33999999999999997
5,2018-11-15,5.0,"Went for our anniversary, steak frites and Escargot were delicious. Service and environment also excellent.",18.40666666666667,1.0
6,2018-11-14,4.0,"Located in West Village, Boucherie restaurant had great ambience, diverse drinks options and variety of French cuisine.We ordered Escargot, Foie Gras and Steak tartare as appetizers.All of them were fresh and tasty. We really enjoyed each appetizer. For entrees, we got Porterhouse and Lobster. Though steak was cooked medium rare, there were some dry, burnt portions at the ends. I would try different steak entree next time.Lobster, however, was cooked perfectly. Presentation of the food was elegant too! Lastly, dessert was unique and delicious.",18.40666666666667,0.37179487179487186
7,2018-11-13,2.0,"While the food at Boucherie is good, I would never recommend it for more that a small party.  We'd been working with their manager for almost two months for a party of 20, and when we arrived the table was set for less than 18.  Instead of making more room in the restaurant - which was almost empty outside of our party - they instead sat two of our family at a completely separate table.  When we asked to incorporate the two, the manager seemed far more interested in being right, insisting we had only said 18 despite the fact that we had an email confirmation for 20 people.  My mother - one of the sweetest people - almost got into a yelling match with the manager.This is the part where I should mention this late lunch was actually my wedding reception post-city hall.  It wasn't great to watch someone argue with my mom instead of adding two seats to the table.In the end they did make attempts to correct the situation, but watching the manager at a restaurant where the party planned to drop several thousand dollars yell at the customer instead of make VERY simple changes left a tarnish on my wedding day.Wait staff tried their best, and the food came out very quickly, but management needs some lessons in customer service.",18.40666666666667,0.20725623582766442
8,2018-11-13,3.0,"Excellent food, good service, questionable management. Wedding party of 20. After confirming reservation the day before, the table was set up for less than this. One couple ended up being seated separately and it took an act of Congress with the argumentative manager to get two more chairs at the table and given the place was only partially filled, this was ridiculous. Same couple was skipped when meals were ordered, but wait staff and excellent kitchen staff got right on it while manager aloofly texted. Wait staff did an overall good job, kitchen staff and quality of food were terrific. Recommend for smaller parties, but not for larger groups based on this experience.",18.40666666666667,0.22410714285714284
9,2018-11-11,5.0,"Excellent service and food! Showed up at the wrong  location and they squeezed my party of 4 into a busy Sunday evening. Ordered the tomato bisque, frog legs, rigatoni and porterhouse. What a surprise! The porterhouse was cooked perfectly and the rigatoni was flavorful! High quality service, ambiance and food!",18.40666666666667,0.365
10,2018-11-10,4.0,"Perfect place for dinner near NYU and Washington Arc. Authentic french cuisine with a nice bar. Several large groups on site at that night. Though the food was a little bit pricey, it was worth it. The service was good offered by knowledgeable waitors and the manager. A popular place for NYU students and faculty.",18.40666666666667,0.3478896103896104
11,2018-11-09,3.0,Good vibes but food is okay. Too greasy for my taste. Frog came with very little or no salt.,18.40666666666667,0.31875
12,2018-11-09,5.0,"Came here late on a Friday night with a friend who was in from out of town and had a seat at the bar. Was greeted at the door by the hostess who was very cordial. Didn't eat, so can't comment on the food, but they have an extensive cocktail menu of absinthe drinks. Each one was super unique and the bartender was friendly and patient in explaining each drink and making recommendations. Each drink was quite strong, but also quite tasty. Manager was also super friendly and came over to check on us and engaged us in conversation for a few minutes despite it being busy. Overall our experience here was a pleasure. I only regret I didn't get to taste the food - will be back to do that!",18.40666666666667,0.14464285714285713
13,2018-11-08,5.0,Never ate at a French restaurant before so decided to pop in when I was strolling around the West Village one night. Loved the atmosphere. The drinks were superb and was pleasantly surprised by how good the food was. Would definitely come back another time.,18.40666666666667,0.35714285714285715
14,2018-11-08,5.0,"Writing an update to my previous review.  To be completely honest, I made a huge mistake. The review that I left was actually for a different restaurant, and while I thought I was at Boucherie, I wasn't.  The entire story is a long one and I won't bore you with the details.  After my original review, Zorica (GM) reached out to me and said that the service that I was given was not at all typical and up to their standards and she wanted to make it right, by giving them a chance to make it up to me.  Zorica was amazing in offering me an great incentive to come back and try again, along with handling a special request that they don't normally do.I went their last night, and as soon as I was sat at my table (which was probably the best table in the place) I realized the mistake I made.  I reached out to the current manager and informed him of my mistake, apologized and I stated that I did not deserve all that Zorica was doing for me.  He said not to worry about it at all.  Now to the actual review.  Long story short, the entire experience was top shelf.  The wine and appetizers (Foie Gras, Mussles and Escargots) were incredible.  For the main course we split the Chateabriand, and it was probably the best steak experience I've had in NY.  Seasoned perfectly and the most tender piece of meat I've eaten in a while, and the peppercorn sauces were heavenly.  I still can't believe I made such a mistake in my original review and hopefully they can forgive me for that.  I will be sure to return with friends as often as I can.",18.40666666666667,0.28261183261183265
15,2018-11-07,5.0,"""Boucherie"" means ""butchery"" in French, so my biggest tip for this place is GET A STEAK. Any of them. My biggest regret was getting only one steak dish instead of two. Girlfriend and I split the filet mignon with truffle butter and the Pot A Feu (Sunday special, short ribs, oxtail with veggies and broth). The steak was phenomenal. I wanted to order medium-rare, but girlfriend wanted medium.  However you want your meat cooked, they will do it perfectly. Even though it was medium, it was the most tender, juicy steak I've ever had in my life. Damn perfect.The Pot A Feu was very nice. It was subtle and delicate, and I am glad I was able to try it. I probably wouldn't order it again, though. It was hard going from the truffle butter filet mignon, that curb stomped your taste buds, to a really light, subtly flavored broth. We still finished the hell out of the Pot A Feu until there was only bones left.Every appetizer on the menu sounded so good. We settled on the asparagus salad and the escargot. I loved every bite of the salad, which came with a poached although I wish it had just a little more asparagus. Another piece or 2 would have been perfect. I haven't had too many escargots before, but Boucherie's was easily the best I've had. We were so full at the end, but we still got a creme brulee. I loved it.I highly recommend the Boucherie Old Fashioned. It was one of the best cocktails I've ever had. Final scores: 420/69 for the wait staff and bar tenders. 710/420 for the food.",18.40666666666667,0.3411547619047619
16,2018-11-06,5.0,Perfect date night / post- workday dinner spot. Lively atmosphere in a huge space - I would recommend making reservations because it fills up quickly around 6:30pm. My favorite dishes were the steak tartare and the dessert! I left feeling so satisfied by the food and service!,18.40666666666667,0.44567099567099566
17,2018-11-04,5.0,"I liked this place, love the French decor, gives me nostalgic feeling of being in Paris again. Foods are okay, not outstanding but not bad, good amount of crowds. Great location. Would come again.",18.40666666666667,0.30000000000000004
18,2018-11-04,4.0,"Ended up at Boucherie unexpectedly after a change in plans for dinner at another restaurant in the area and but had a solid dinner. I will say that when we arrived, with a reservation, as a party of four black people in a restaurant that was full of predominantly white patrons and escorted through the entire restaurant, up the stairs, and then seated at a table in the tiny wine room I was completely put off. While the restaurant was busy, there were tables open that could seat four downstairs on the main floor. One our host even awkwardly stopped at making us believe it was our table before she continued on through the restaurant up a set of stairs, to the end of that dining room and finally to our seat. Again off putting and I do think problematic. However, our waiter was wonderful and his service was attentive.The food was great, well portioned and nicely presented. All what I would expect from a solid four star restaurant in the West Village. Our waiter recommended for drinks that I try the Amelie. It was light and sweet, not too boozy. For my meal, I had the beet salad which was light, came with a good amount of beets and smear of goat cheese. Nice way to start. For my entree, I had the bronzino which came de-boned, etc as two fillets. This was topped with a chunky tomato and artichoke jus. Plenty of fish but not too much-- a good portion size. We finished with a creme brûlée that was tasty but not out of the ordinary. A restaurant for a solidly good meal, but nothing to extraordinary. We might be back.",18.40666666666667,0.23641975308641974
19,2018-11-04,5.0,"We had a 7pm res for a party of 11 for a Birthday  dinner on a Saturday.  We had a terrific experience.  Wonderful, attentive service by everyone including the front of the house.  It was busy but they had a large table in the back for us with plenty of space.  Place was large but oddly not noisy which is great.  Food was excellent - the steaks were cooked wonderfully. Typical French bistro fare.  Four of us in our party ordered the ""Butcher's Block"" which is a huge cutting board with four cuts of meat (ribeye, hanger steak, NY strip, and filet).  It was $205 which I think is a great deal.   It easily could have served five ppl.  Each steak was different in texture and taste and it was great to sample each cut.  Each of us preferred a different cut for a different reason though the filet was a standout.  Four different sauces accompanied it.  The front space did look a little tight with tables close together.   Beautiful bar.   Lots of cocktails made expertly.  An unusually long list of absinthe drinks.  Recommended.",18.40666666666667,0.2365
20,2018-11-02,5.0,"An amazing experience at a casual French Restaurant . Sign me up for more. I went here for a guy's night two-weeks back. I haven't had to much experience with French cuisine in the past, but I must say Boucherie went above and beyond. One thing that has been so lacking for me of late, in my NYC dining experiences... has been good service. And the service at Boucherie was EXCELLENT. From the moment we met the hostess, being seated, and being checked on. Well done.Another big surprise was the quality of the cocktail drinks. The Old Fashioned was made like a champion, and all of my friends loved their mixed libations as well. Let's talk food, my favorite part:1) Steak Tartare- I've had this appetizer before and it was really tasty combined with the capers.2)Mousse de Foie Gras- The Goose liver was rich in flavor, although not my favorite thing to order in most places. 3) The Pan Seared Tuna Ahi- One of the better salad appetizer's I've trie in a while.4) Escargot- I'd never tried this before.. and ill be honest I didn't really like it, but my friend said it was on point.. to each their own ?5) Main Course- Rack of Lamb- This was spot on one of the best meals I've had in quite some time.. I ordered it Medium and it was juicy, succulent and cooked to perfection.  I highly highly recommend you order this when you visit.6) Dessert- Cream Brulet and Chocolate Mousse- We split this as a group, the chocolate was rich and this was a surprisingly good desert.The meal at Boucherie was full of surprises from start to finish. But overall, if someone was looking for a fancy meal, without the typical snobby attitude of a high-end place.. Look no further ! It's not a cheap night, but well worth it.",18.40666666666667,0.24081081081081085
